,Text
424,@VoseckaAlenka @BeberuJeuri @KyivPost Laugh out loud suck more propaganda down russia is a pos country war criminals
425,"RT @itstiffanieb: I get why we spend money on war, I really do but Tupac said it best “we got money for war but can’t feed the poor” &amp; I’m…"
426,"RT @Alex_agvg: AMERICANS: After years of war and devastating globalization, we'd like a foreign policy that actually takes care of our fami…"
427,@drecksuser Das war bestimmt die letzte Zusammenarbeit mit Fortnite xD
428,"@guenschl Als die UN gegen uns war, haben wir ""jetzt erst recht"" Waldheim gewählt"
429,"RT @WilliamYang120: In an emotional speech delivered to the European Parliament via video, #Ukraine's President @ZelenskyyUa leaded for E.U…"
430,"@kotmock @mad__justice__ And Russia has some groups like Rusich, Kornilovtsy Bat, etc..so we have nazis fighting nazis. And Azov has some Russians in it, so also pro-Ukraine Russian nazis vs Pro-Russia Russian nazis.

I feel bad for the normal Ukrainians, this is almost as nuts as the Liberian civil war."
431,RT @RottenInDenmark: Marvelling at how the Cancel Culture Warriors have backed themselves into feeling ambivalent about banning state-backe…
432,"@dkaleniuk @BorisJohnson I appreciate your passion but war is not something we want to escalate the situation towards. I worked in theaters outside european and america war domain... It's very hard to stop when it starts, any war now leaves everyone at the mercy of china... Too many negatives right now"
433,"RT @isawthesethings: @tedcruz Ted desperately wants to distract from:

Ted &amp; GOP literally changed the 2016 GOP party platform for Putin.…"
434,RT @Leomie_Anderson: So disgusted by the treatment of black people during this war. I haven’t said much on the topic but will say that.
435,"RT @thejb_stan: Worth remembering, as people talk about prosecuting people for war crimes, that the US's official position is that if an Am…"
436,RT @VeraMBergen: Ukraine's Ambassador to the UN read out text messages between a Russian soldier and his mother moments before he was kille…
437,"RT @carolecadwalla: “NATO is afraid of World War III. But it has already started. And it’s Ukrainian children taking the hit”

Brilliant, i…"
438,"Russian war crime!
#WarCrime https://t.co/F9jeiD5b5m"
439,RT @sienaanstis: My colleagues and I at @citizenlab just published a report on digital transnational repression in Canada: https://t.co/IOZ…
440,RT @illegalkimjoon: Denger2 non fans bahkan non kpopers ikut war buat dijual lagi. Ges gak usa dibeli apalagi yg overprice. Sorry gua orgny…
441,@kkernttb Invasions aren’t war?  Lol.  Got me confused
442,"@Gadhwara27 As a human......war is not a solution for everything.... destruction and killing is not the way to end any issues...

At last... everyone have to melt down into this earth....mr. Putin also.......

support humanity....
not cruality..."
443,"@MedvedevRussiaE One of the Russian soldier, mother get 104$ from Putin. Are you lost your mind? Stop this  war now ! https://t.co/z1oqSw9m5M"
444,"RT @Amisha_Go: Day 1 - Modi will solve India Ukraine war.

Day 2 - Modi made sure Indian Students are safe.

Day 3 - Modi would provide hel…"
445,"RT @RiseofBurnol: Indian govt is trying very hard &amp; putting all efforts to bring back our people safely!

However in war zone, u can't go i…"
446,RT @DmytroKuleba: Barbaric Russian missile strikes on the central Freedom Square and residential districts of Kharkiv. Putin is unable to b…
447,RT @metamoonshots: We must be loving each other than calling for war. We can stop a huge bloodbathe and save mankind from this mess. We sho…
448,"RT @ManOnelife: ปูตินบอกโลกว่า “This is not a WAR, it’s called Special Military Operation!” เหมือนกันล่ะครับ ที่ตอนนี้ปูตินประณามยุโรปอย่าง…"
449,RT @illegalkimjoon: Denger2 non fans bahkan non kpopers ikut war buat dijual lagi. Ges gak usa dibeli apalagi yg overprice. Sorry gua orgny…
450,"RT @MetroUK: Markus Gisdol, who was appointed Lokomotiv’s head coach in October, said: I cannot pursue my calling in a country whose leader…"
451,"RT @KathrynWenborn: Let me get this straight. 1000s of Aussies have lost their homes to floods, Ukrainians are fighting for their lives, we…"
452,"RT @FedorovMykhailo: Joint forces of Ukrainian music industry, @mintsyfra and Slukh media appeal to the @AppleMusic and @Spotify leadership…"
453,"@RingsOfOrbis730 @GeorgeCGed @BLASTPremier It’s obvious that a lot of these Russian orgs won’t agree with what’s happening at the moment, so who are BLAST to ban them from events? They’re not part of the war."
454,@JoshSmithSpears @ZambeziOutpost @Rad1Sharif He’s not calling for war unlike you
455,RT @deadeyebrakeman: Fans of what? The war?
456,"Poland, once torn by Nazi invasion in World War 2, is now sheltering a lion’s share of Ukrainian refugees! https://t.co/E9LzlLM6iA"
457,"RT @SaniaAhmad1111: People died during demonetization
Their fault

After CAA NRC
Their fault

During lockdown
Their fault

After farm laws…"
458,"RT @Mist_Halpin: @adamajacoby Whilst they talk Ukraine and war they’re keeping climate change, COVID, no ICAC, Aged Care crisis, stagnant w…"
459,RT @CBSNewsPress: NEW from @CBSNewsPoll: Those who plan to watch President Biden’s #SOTU address say the war — even more so than the econom…
460,"@ThePollLady Ye war yahi nahi rukani chahiye, iska main reason hai wo nato or UN, islie UN ka restructure hona bahut zaroori hai.. tabhi UN me balance aayega."
461,"RT @florida_sophia: This is false. Syrians have documented, tweeted etc. for a decade. The @SyriaCivilDef even has cameras on their helmets…"
462,RT @ykomska: Same for academics. A student of mine is writing a paper about the current relationship between Russia and Ukraine (she starte…
463,"On the other hand, if he loses the war for Kiev, he'll readily blame the west for their military support. If he doesn't attack before, he'll take his vengeance after he's defeated in Ukraine. All this though doesn't mean we shouldn't sanction RF or help Ukraine. 3/"
464,"RT @yarotrof: “It’s not just a war, it’s murder.” Kharkiv residential areas shelled by Russian MLRS, a family with tree children incinerate…"
465,"RT @TheoryofYinWar: ฝากไปกด ❤️ ให้เด็ก ๆ กันหน่อยค้าบ 🥰

https://t.co/P0RlIpxVCi

Yin Anan @yinyin_anw #yinyin_anw War Wanarat @warwanarat…"
466,"RT @Axumawii: 482 days into the Genocidal war on #Tigray, the Kunama &amp; Irob people are still suffering disparate and existential consequenc…"
467,"@naoyafujiwara すみません、下記のURLの最初にもhttpの後ろにもsをつけてみたが、両方とも開けませんでした。
https://t.co/5aoFjI18IC"
468,"RT @amishra77: Some nascent lessons from Russia-NATO conflict.

8) Entire Latin America, Africa, Asia &amp; Australia is uninvolved in the war.…"
469,RT @Reuters: Russian billionaire Fridman says: Ukraine war should stop https://t.co/u1UiMipwML https://t.co/Fvn7ZKWjd8
470,"RT @LuvofW: สั้นๆเลยนะ ผัดสัว!! จบ😭😭😭😭

War Wanarat #warwanarat @warwanarat https://t.co/UhaYXQhH4N"
471,RT @LouisTPy: 🚨| Louis Tomlinson acabó de cantar Beautiful War y las fans aparte de lanzarle cosas (cuando él les pidió que dejen de hacerl…
472,RT @deadeyebrakeman: Fans of what? The war?
473,RT @sbg1: Russia’s barbaric attack on Kharkiv suggests they have moved to the destroying Ukraine in order to *save* it phase of this hell w…
474,"Please help me out.
Ukraine are going to let criminals out of prison to fight Russia.
Theses criminals are wrong uns!! So could lie they lost papers and flee war torn area's claiming they refugees.
We take them in an our daughters/wives/mother's get raped an crime!!
Am I wrong??"
475,"RT @armolts: “Sangat mengerikan, lucu, angker, dan menyayat hati,  The Girl and the Ghost  adalah kisah intens tentang kesedihan, keluarga,…"
476,RT @Alexand3rTheMeh: This whole fucking war is senseless and killing innocent people who don't deserve it. We got here because Oligarchs in…
477,"@kasta_app Because of war in Europe, protect your funds and yourself.
Put your money in a safe place on the African blockchain. 1st world crypto market in terms of wallet holders.
Bid on ZYNECOIN, AFRIX, GLOUKI and ZYRRI on PROBIT and WETHIOX https://t.co/UZqZEPGzmX

https://t.co/rsTZLRWiGp"
478,"RT @McFaul: Grozny, Aleppo. Kharkiv. Putin only knows one way to wage war — kill the innocent. Disgusting."
479,RT @RaniaKhalek: Scary how many people in positions of power and media are totally cool with policies that could lead to nuclear war… don’t…
480,@jeremycorbyn Nobody wins a war.
481,RT @polinaivanovva: Ukraine’s president accused Russia of war crimes after a missile hit the centre of Kharkiv in one of the most destructi…
482,"With no off-ramp in sight, Russia’s leader has put the country’s nuclear forces on alert. https://t.co/bz77BKsOyk"
483,"RT @StephenMoore: America is importing 75,000 barrels a day from Russia. 

This means, Joe Biden is handing Putin over $10M per day for ene…"
484,RT @illegalkimjoon: Denger2 non fans bahkan non kpopers ikut war buat dijual lagi. Ges gak usa dibeli apalagi yg overprice. Sorry gua orgny…
485,"however we achieve it, putin cannot be allowed victory in ukraine
 https://t.co/8Vp10uGKr0"
486,"Russia-Ukraine War Live: EU संसद में बोले यूक्रेनी राष्ट्रपति जेलेंस्की- हम आजादी की लड़ाई लड़ रहे, सभी देशों का मिल रहा समर्थन https://t.co/Eu7RI5pkS5"
487,"RT @GerryConnolly: The Biden Administration is putting on a masterclass in coalition building.

I have worked in foreign policy since the C…"
488,"RT @nytimes: Video verified by The New York Times shows an attack on apartment buildings next to a kindergarten in Kherson, a city that has…"
489,"@dngrsmybusiness Without a war, he is dying sooner than most of us."
490,RT @bluevirginia: Today's Virginia General Assembly schedule  https://t.co/MyBwqeBQxd https://t.co/v77ruK2vi6
491,"RT @sahraakarimi: #StandWithUkriane  means #StandWithEurop 

I am orginaly an Afghan, but I have European Citizenship, so I stand with Euro…"
492,"Digital war: Ukraine + people of the world vs Russia - 1:0...with everyone instead of leaving comments for Russian restaurants on Google maps, adding pictures and comments about the war in Ukraine for Russians being cut off from the independent source of information https://t.co/oOWDTQFKpn"
493,RT @AP: Ukrainians aren't the only refugees fleeing to safety as Russia wages war. Large numbers of people from foreign countries who made…
494,"RT @Andy_Scollick: Given the Government of Georgia's pro-Russian stance, there's potential for civil unrest and military actions in Georgia…"
495,@blackintheempir All we know is that justification for war is growing.
496,"RT @AJEnglish: ⚡Russia-Ukraine war updates: 1 March 👇
https://t.co/LereyN6r4O"
497,The latest developments from the war in Ukraine https://t.co/cCvoMjNHZp
498,"RT @PaulAkpobome: @toxic_plug @Waveboywavez Y'all can't drop a post without devaluing men, men want to put women under them, men take oppor…"
499,RT @sbreakintl: Intelligence acquired since the beginning of the Russian military operation over Ukraine has shown an immense lack of logis…
500,"RT @carolecadwalla: “NATO is afraid of World War III. But it has already started. And it’s Ukrainian children taking the hit”

Brilliant, i…"
501,RT @eaphill0208: Serious ?: Where’s all the “Don’t Tread on Me” and “F Socialism” bubbas? Why aren’t they on a plane to Ukraine to join the…
502,RT @CBSNews: Footage from the State Emergency Services of Ukraine shows a rocket exploding Tuesday outside of a government building in the…
503,"RT @SchmitterCecile: UKRAINE - WAR IS MADNESS! - 

UKRAINE - LA GUERRE EST DE LA FOLIE !  -

Signez la pétition ! https://t.co/ks4WkGNnJ7 v…"
504,"RT @maria_avdv: Missile attack on the Kharkiv regional administration, Sumska 64. Grad shelling at residential areas. Putin now in total wa…"
505,"RT @TheoryofYinWar: ฝากไปกด ❤️ ให้เด็ก ๆ กันหน่อยค้าบ 🥰

https://t.co/P0RlIpxVCi

Yin Anan @yinyin_anw #yinyin_anw War Wanarat @warwanarat…"
506,"RT @carolecadwalla: “NATO is afraid of World War III. But it has already started. And it’s Ukrainian children taking the hit”

Brilliant, i…"
507,RT @Reuters: CORRECTION: The movement of jailed Russian opposition leader Alexei Navalny called for a campaign of civil disobedience to pro…
508,"RT @MailOnline: Belarusian troops have invaded Ukraine, Kyiv claims 

UKRAINE LATEST: https://t.co/B3npWA1QqD https://t.co/V9d5blmPGL"
509,"RT @Pontifex: I invite everyone to make this coming 2nd March, Ash Wednesday, a Day of Fasting for Peace: let believers dedicate themselves…"
510,"the Ukrainian resistance is awe-inspiring and the sanctions remarkable.  now we need a face-saving off-ramp for Putin, because further escalation down this path leads to more Ukrainian cities being leveled and potentially nuclear war."
511,"RT @ZaidZamanHamid: I am one man you cannot accuse of siding with the Russians....
I have fought against the Soviet Union for 7 years... An…"
512,"RT @MedvedevRussiaE: Today, some French minister has said that they declared an economic war on Russia. Watch your tongue, gentlemen! And d…"
513,"RT @MusicConnoisseu: Ukrainian guards beating black civilians for no reason? yeah y’all can keep your war, i’m black first https://t.co/85i…"
514,RT @mfa_russia: ❗️ An online exhibition depicting the war crimes &amp; crimes against humanity committed by the Ukrainian leadership in Donbass…
515,"@rohini_sgh Naveen is to some extent responsible for what happened to him why go to a shitty third world nation in a war zone for education ? Also, he knew that Ukraine was a dangerous place at least for the last 6 months why dint he flee ?"
516,"For all those outraged, this is what a World War on twitter looks like. 

Stop flinching. By cheering EU sanctions and NATO measures for Ukraine's actions against Russia, you're asking for enlargement on the war on the ground too. 
https://t.co/JfrZsM2LIJ"
517,"RT @MedvedevRussiaE: Today, some French minister has said that they declared an economic war on Russia. Watch your tongue, gentlemen! And d…"
518,"@imjaysrivastava God bless us all. No war please
0x872c4b4b0e7c849CCbf0F8db9CC40D9f5D11dE01"
519,"@piersmorgan Having watched this and just seeing the EU parliament session I’m becoming more and more convinced that we have to accept a full scale war across Europe is going to happen. We may not want to get involved but I think our options are running out, no matter what the cost may be 😢"
520,RT @djsakura666: #iheartjrock no war! https://t.co/kZ3IQmWHd0
521,"RT @McFaul: For decades, pro-market liberals in Russia have worked for Putin, believing it was better to be on the inside than out. I know…"
522,RT @RnaudBertrand: Most fascinating thing about the Ukraine war is the sheer number of top strategic thinkers who warned for years that it…
523,"RT @Sondreus: Where in Russia do people oppose the war? I tracked the use of protest hashtag #нетвойнеI (""no war""), and found opposition in…"
524,"RT @ikhurshudyan: Talked to Kharkiv’s mayor this morning. He said Ukrainian authorities still control the city, but it’s being surrounded b…"
525,"RT @carolecadwalla: “NATO is afraid of World War III. But it has already started. And it’s Ukrainian children taking the hit”

Brilliant, i…"
526,"RT @maria_avdv: Missile attack on the Kharkiv regional administration, Sumska 64. Grad shelling at residential areas. Putin now in total wa…"
527,"RT @mikegalsworthy: An appalling title for an article.

No-one on the side of humanity is having a “good war”. The notion that this is abou…"
528,"@KelvinW40709444 @NightQueen369 @KrystianMarek11 @JoanBegley @GeoffHeinricks @iyadhamadani @KCTaz @Jess_369_ @JakksonT @Mordrake6 @MariskaSchalek1 @ealeorah @LeoSoulUS @StLHandyMan @GloriaJH @stephanbford @deNutrients @Wandaspangler2 @WindsorAndAGirl @LsdPensa @KhMomnurse @WTF_JustAsking @shawnelizabet11 @JamesMa96163439 @riskyappetite @EYE_KILL_IT @Messiah_Isho @Bokubo13 @Hearts4America @Anonylyzer13 @gregperry10120 @DeinertDoc @VellingaStefan @Divine7373 @Hoover13Barry @ManWithNoLife1 @TheOldManofthe3 @AnonimAktivista @sswake @MagtathMaggie @lily95075891 @GaryOxide @existentialrest @RightsSpiritual @cswarketatora @Gerard39delaney @nobulart @SinningStill @Juha_the_Great The USA is still at ""DEFCON3"" while #FJB  blurted out yesterday ""Don't fear Nuclear war with the Russians. (just for Kelvin i will pass on Kennedy's cuban missile crisis speech) Wag the dog 101 https://t.co/Zv4uAsbf8d"
529,"@imnuso The oligarchs will be more motivated to do it than normal people who are on a 450$  salary anyway. In any case there are 3 ways this will go down. 1. Someone removes Putin, 2. Let him take Ukraine and whatever he wants next, 3. Stop him military - nuclear war"
530,"RT @irgarner: Big Thread: After a few more days of war, I've been carefully monitoring Russian social media reaction and production and I'm…"
531,RT @loomnie: We've put together a page on the @APRI_Africa website tracking what the Russia-Ukraine war means for Africa. Curated by @sarat…
532,"RT @w_terrence: REPORTER: “Mr. President, are you worried about nuclear war?” 

BIDEN: .........

Why is he wearing a mask outside https://…"
533,"RT @Angelo4justice3: EU to wage total economic and financial war with Russia.
When they start seizing Russian asset, we are just a few step…"
534,@PrisonPlanet That was a civil war in an Islamic country. This is a conventional war between two slavic orthodox christian  countries. Worked in the Balkans which is a far more relevant setting.
535,RT @vijaygajera: Although I can understand the situation of Indian students who are trapped in Ukraine but see the mindset of some of the s…
536,"Many lives were taken on both side. Russian hide their losses, but even if you divide the 🇺🇦 numbers by 10, the mortality ratio is 1 to 4 (in favor 🇺🇦). Russian army lost almost similar amount of people they had during the war in Chechnya during 2 years
2/"
537,"RT @JoergForbrig: BREAKING: #Belarus joins #Russian war against Ukraine, has now sent troops into the Chernihiv region as per territorial d…"
538,RT @bademjanbitch: it is undeniably maddening how all of these americans with ukrainian flags suddenly in their headers have literally neve…
539,Idk why people glorify war. Idk it puts me in mind of one of the few stories I get out of my family re occupation of Famagusta. https://t.co/skXWepv74f
540,"RT @armolts: “Sangat mengerikan, lucu, angker, dan menyayat hati,  The Girl and the Ghost  adalah kisah intens tentang kesedihan, keluarga,…"
541,"RT @WarOnTheRocks: A lot of good analysis in here, from people who've been studying Russian strategy for a very long time https://t.co/yl0t…"
542,"RT @POLITICOEurope: The European Parliament has gathered in Brussels to discuss the EU response to Russia’s war on Ukraine.

Ukrainian Pres…"
543,"RT @teamjungweb: @faldin_sergey @guardian If Ukrainians dare to stop a tank with their bare hands, Russian citizens can dare to demonstrate…"
544,"RT @cotten_morgane: 'benn 2 eurvezh e Tarzh an Noz war @RADIOKERNE @RadioNaoned 

📖kentelioù #bzhg e toull-bac'h gant Kristin David
🧐ar gro…"
545,RT @yurirando: when we went to war in Iraq people defending themselves from us there quickly discovered that most American vehicles on the…
546,RT @TristanSnell: BREAKING: Russian war crimes to be investigated by International Criminal Court in The Hague. ICC’s chief prosecutor sees…
547,"RT @carolecadwalla: “NATO is afraid of World War III. But it has already started. And it’s Ukrainian children taking the hit”

Brilliant, i…"
548,RT @jk_rowling: War shatters childhoods and tears families apart. @lumos has launched an appeal to help the c100k children trapped in orpha…
549,RT @ArsElectronica: ☮️Stop war! ☮️We stand with Ukraine! 🇺🇦 #standwithukraine #stopwar https://t.co/oWGmlCJ2Mh
550,RT @best_anavil: What!!!! No war please. So much lost. :((
551,RT @RShivshankar: Wonderful to see European countries being so welcoming of refugees from Ukraine. This is humanity at its best. Hope they…
552,@funshographix Why is your government waiting for the war to escalate before making moves?? Abeg drop this racism talks jhooor
553,"People are applying the simplistic logic that intervention means automatic nuclear war. It doesn't, because Putin is not suicidal.

The reality of allowing ourselves to be blackmailed with nuclear weapons is that the Ukrainians may one day seek to have them to avoid the same fate https://t.co/Pj2m4sopgC"
554,RT @DainikBhaskar: यूक्रेन पर हमले का छठवां दिन LIVE: ब्रिटेन की डिफेंस मिनिस्ट्री ने कहा- कीव में आगे नहीं बढ़ पा रही रूसी फौज; साउथ कोरि…
555,"RT @TheRaisedVoice: Instead of evacuating, Zelensky joins soldiers on the front lines

TFG can't risk getting his hair wet, visiting war me…"
556,"RT @NewsHour: Amid the alarming images of Russia’s invasion of Ukraine, millions of people have also seen misleading, manipulated or false…"
557,RT @sidhant: India's ministry of external affairs will hold a presser at 8 PM IST on Evacuation Of Indian nationals from war torn Ukraine.
558,"RT @ABPNews: Russia Ukraine War : रूसी तोप से यूक्रेन के मिलिट्री बेस पर हमला किया गया, जिसमें बड़ी तादाद में सैनिकों की मौत हो गई.

#Ukrai…"
559,"RT @tejinagi: At this point of time atleast suppprt GOI rather than criticising at world level....
Guys its a war zone even Ukranians r als…"
560,"@tashecon If the Jews who live in Russia start to flee, you are right. But these people just fleeing from the war. And yes Putin is a bad person, but not all bad persons are nazis"
561,"RT @KapilMishra_IND: So SWIFT = NATO ?

META, Google Pay, Banking platforms, Social media platforms everything is just a weapon in the war…"
562,"RT @MoonLight230ii: เห็นทั้งคู่ใส่ชุดแบบนี้แล้วใจฟูมาก ดูดีกันสุดๆ ขอซีรีส์แนววัยทำงานให้ทีเถอะ ดูสิ!! ลุคมันได้ มันใช่มากอะ ❤❤❤

#warwanar…"
563,"RT @jeremycorbyn: Nobody wins a war.

War is a defeat for all of us.

https://t.co/683pEtZnFt"
564,RT @TaneNFT: Make art not War @andrwwang @reli3fxyz 💙💛 https://t.co/OV2OkN6ICd
565,"RT @JesseRodriguez: THE HAGUE, Netherlands (AP) -- The chief prosecutor of the International Criminal Court said Monday he plans to open an…"
566,"RT @LarrySabato: THINGS ARE GOING REALLY BADLY FOR RUSSIA, PART 674
(AP) THE HAGUE, Netherlands: International Criminal Court prosecutor to…"
567,@cryptoaladeen I could use one of them for buying my freedom when the war comes
568,RT @TheSun: Heart-breaking moment Ukrainian journalist breaks down in tears as she asks Boris to think of mums and babies fleeing https://t…
569,RT @nytimes: President Volodymyr Zelensky of Ukraine pleaded for EU membership for his country in an emotional speech to the European Parli…
570,RT @nytimes: President Volodymyr Zelensky of Ukraine pleaded for EU membership for his country in an emotional speech to the European Parli…
571,"RT @kylegriffin1: THE HAGUE, Netherlands (AP) — International Criminal Court prosecutor to open probe into possible war crimes or crimes ag…"
572,RT @humanitifirst: Even a boy who passed away in a war torn faraway land.. a place he must’ve set out to with big dreams… even he is target…
573,"RT @carolecadwalla: Ok. Deep breath. 

I think we may look back on this as the first Great Information War. Except we're already 8 years in…"
574,RUSSIAN FOREIGN MINISTRY SAYS WESTERN COUNTRIES KEEP PUSHING UKRAINE TOWARDS WAR - RIA
575,"@stillgray This will be the new litmus test for level of toxic exposure to corporate media which BTW numbskulls is part of the war machine and used to manufacture consent for what? Yup. War! 

https://t.co/LHO2Mqoowd"
576,"Johnson showing a total lack of spine when confronted by the truth of war.
Unable to hold eye contact with the distressed lady.
HE IS AN ABSOLUTE COWARD. https://t.co/Oi8dnYwH21"
577,"RT @jeremycorbyn: Nobody wins a war.

War is a defeat for all of us.

https://t.co/683pEtZnFt"
578,RT @DanRather: I am reminded again and again that during war the heart is always heavy. Such sadness and misery. Such loss. And this one. T…
579,"RT @MedvedevRussiaE: Today, some French minister has said that they declared an economic war on Russia. Watch your tongue, gentlemen! And d…"
580,RT @sidhant: Breaking: India confirms that One Indian student has died in shelling in Ukraine's Kharkiv; India's FS @harshvshringla is call…
581,Romney looks back on first Trump impeachment amid war in Ukraine - CNN Video #PutTrumpInJail 😡😡 https://t.co/vTTUDJefVi
582,"RT @DiscussingFilm: Sydney Sweeney and Barbie Ferreira have both auditioned to play Madonna in her upcoming biopic.

(Source: https://t.co/…"
583,"RT @WeyentiGaltom: 482 days into the Genocidal war on #Tigray, the Kunama &amp; Irob people are still suffering disparate and existential conse…"
584,RT @ashoswai: The Hindu Right-Wing regime has failed miserably to rescue Indian students from the war in Ukraine. One Indian student has di…
585,RT @CornelFeruta: One key point of my statement to #ConferenceonDisarmament in Geneva: never abandon efforts to prevent even the prospect o…
586,"RT @carolecadwalla: “NATO is afraid of World War III. But it has already started. And it’s Ukrainian children taking the hit”

Brilliant, i…"
587,RT @HARSHPA59434297: @Afsar9115Khan kyu wo PM hai baat nhi karenge ..Baat kre toh bhi dikkat n kare toh bhi dikkat ..Aur bhai bol aise rahe…
588,"RT @yinwarofficial: นัดมาขนาดนี้จะพลาดกันได้ไง ทีมหน้าจอพร้อม แล้วเจอกันครับลูกพี่

⏰️ 17:00 น.
🗓 6 MAR 2022

#LANEIGExYINWAR
#yinyin_anw Y…"
589,"RT @Andy_Scollick: If this isn't a war crime, what is? #StopRussia #StandWithUkraine"
590,@BBCNews Peace not war.
591,"RT @C_Barraud: 🇷🇺 🇫🇷 EX-RUSSIA PRESIDENT AND TOP SECURITY OFFICIAL DMITRY MEDVEDEV TWEETS, IN REPONSE TO COMMENTS BY #FRANCE OF DELIVERING…"
592,"Amid the alarming images of Russia’s invasion of Ukraine over the past few days, millions of people have also ...
https://t.co/jluqFdW8IV
#technewsupdate #technewsdaily #technewsisawesome #technewsupdates"
593,RT @AndrewFeinberg: This thermobaric explosion is a war crime.  https://t.co/4okmx2kUSU
594,RT @deadeyebrakeman: Fans of what? The war?
595,"RT @KyivIndependent: ⚡️Possible war crimes or crimes against humanity in Ukraine will be investigated, prosecutor of the international crim…"
596,@EzyLibby @GOP So is there an actual war there?  Because what I understand it’s all performative bullshit by @GregAbbott_TX and the @GOP .
597,"@anyaparampil @maddow @HillaryClinton #Clinton is a Warhawk.
She LOVES military conflict.
Why would ANYONE ask her for advice on a regional skermish?
You already know what she will want. (Cue the war drums..)
*Kissingers protégé will do as she was taught: always advocate for the military industrial complex to profit."
598,RT @Reuters: The moment dozens of diplomats from the European Union and United States walked out of a speech by Russian Foreign Minister Se…
599,@Sparkler8182 @John20694364 This IS the bigger issue that they created a fake war to distract you from 🤣
600,RT @deadeyebrakeman: Fans of what? The war?
601,"@jeremycorbyn Defending Stop the War? LOOOOOL
Jesus Corbyn this is how you tanked Labour. Stop the War's statement was 9 words condemning Russia then 4 paragraphs blaming the west. How hard is it for you lot to wake up and realise that such a thing is obvious bias!"
602,RT @TDeryugina: Still need more Russian-speaking academics to help email academics in Russia &amp; ask them to help stop the war in Ukraine. It…
603,"RT @SkyNews: ""We are crying, we don't know where to run""

A question is raised to the PM from a woman who has fled Kyiv. In tears she tells…"
604,"RT @irgarner: Big Thread: After a few more days of war, I've been carefully monitoring Russian social media reaction and production and I'm…"
605,"RT @John20694364: WHAT TIME WILL PFIZER RELEASE THE 10,000 PAGES OF DATA TODAY OR HAS WAR GIVE THEM A REPRIEVE?"
606,"RT @Zerugebre1: We #Tigrayans as victims of long war are pleased #Ukraine has got connected through the Starlink satellite. For &gt; 480 days,…"
607,@dkaleniuk @graemelesaux14 @BorisJohnson What about the millions of children around the world then if world war 3 starts?
608,RT @ashoswai: The Hindu Right-Wing regime has failed miserably to rescue Indian students from the war in Ukraine. One Indian student has di…
609,"RT @adamscrabble: Ukraine only has a 34.5% fully vaccinated rate.

Should the war injured who are unvaccinated and arrive at hospitals or n…"
610,@ProfJeffKenner @ITVNewsPolitics @BorisJohnson So you’re advocating in favour of commencing a nuclear led World War 3? And you’re a professor?
611,"RT @hughbie: While the media sell you a war, they are removing your human rights in parliament via #HumanRights Bill and right to protest #…"
612,"@RusEmbassyJ @RussiaUN @mfa_russia だから何？
No war
Stop war 

Shame on you"
613,@DeItaone Who’s gunna tell him that Russia invaded Ukraine and …… started a war. 🤪
614,"RT @JoshuaPotash: ""Zelensky fans""? Is this the Marvel cinematic universe or a war? https://t.co/S4gKI5zj62"
615,@Europarl_EN Support Ukraine - Stop War
616,"RT @FCDOGovUK: Putin’s war in Ukraine is based on a series of lies.

Only a week ago President Putin was assuring the world that Russia was…"
617,"https://t.co/3HWc82nyX4
War thunder stream again tonight"
618,"RT @ElectionWiz: TUCKER: Adam Kinzinger is pushing us towards World War III. 

 https://t.co/rVu5kqr0Fu"
619,"@KapilMishra_IND We still use android and ios. While they have now stopped apply pay and Google pay. What if they make maps, mails stop. What if android and ios stops during war. India needs its own mobile operating systems and cloud services like Drive, Photos and Files."
620,"RT @JackyKemigisa: How to cover European countries war like White Media. A thread with some examples for the ""what are your sources "" brill…"
621,"RT @WeeScotUnicorn: Stop justifying Russia invading Ukrain by saying ""oh some of them there Ukrainians are racist"". There's racists in ever…"
622,"@17Yerne @Penny47322318 @ChetanS21955589 @DrSJaishankar Chutiye war ke ek day pahle rent ticket increase hua .jante kaise increase hua waha tax jada le raha tha Ukraine me, tumlog poltics karoge but desh ko badnaam kar ke.china students 6000 fase Hain Ukraine me but china gov ni la raha."
623,"@RichardFerrand @SebLecornu @lesoutremer @AssembleeNat @jeanmarcayrault @claudebartolone @Pacquit3 @fondation_me @HerveBerville @celinecalvez @jrcazeneuve STOP RUSSIAN WAR  AGAINST #UKRAINE! HELP UKRAINE, PLEASE! @NATO CLOSE THE SKY OVER UKRAINE! EXCLUDE RUSSIA FROM THE @UN SECURITY COUNCIL! PUTIN IS KILLING US! HELP!"
624,"RT @carolecadwalla: “NATO is afraid of World War III. But it has already started. And it’s Ukrainian children taking the hit”

Brilliant, i…"
625,RT @Reuters: CORRECTION: The movement of jailed Russian opposition leader Alexei Navalny called for a campaign of civil disobedience to pro…
626,"RT @BitKeepOS: 🎊BitKeep x @Anon_Metaverse  x Libra Jackpot Blind Box event. The Jackpot blind boxes worth $14,000 are waiting for you!

📌Re…"
627,RT @visegrad24: Indian authorities have confirmed that an Indian student has been killed during today’s Russian shelling of Kharkiv shellin…
628,"RT @minjeanex: We do not want war, but we have to be prepared always. Di natin hawak ang plano ng ibang bansa."
629,"RT @AuschwitzMuseum: 1 March 1985 | A Frenchwoman Charlotte Delbo, a writer and resistance fighter during the war, died in Paris.

In #Ausc…"
630,"RT @olgatokariuk: 'Ukrainian people are asking for the West to protect our sky, asking for a no fly zone. We are getting the response that…"
